-DOCSTART- -X- -X- O
other JJ X O
general JJ X B-Skill
cleaning NN X I-Skill
duties NNS X I-Skill
. . X O

SAS NNP X B-Occupation
/ NNP X O
SQL NNP X B-Occupation
Marketing NNP X I-Occupation
Analyst NNP X I-Occupation
With IN X O
the DT X O
potential NN X B-Skill
for IN X I-Skill
independent JJ X I-Skill
personal JJ X I-Skill
training NN X I-Skill
, , X O
progression NN X B-Skill
and CC X O
the DT X O
opportunity NN X O
to TO X O
work VB X O
in IN X O
an DT X O
international JJ X O
consultancy NN X O

Optimising VBG X B-Skill
appointments NNS X I-Skill
with IN X I-Skill
customers NNS X I-Skill
to TO X I-Skill
identify VB X I-Skill
needs NNS X I-Skill
and CC X I-Skill
opportunities NNS X I-Skill
and CC X O
provide VB X B-Skill
solutions NNS X I-Skill
in IN X I-Skill
order NN X I-Skill
to TO X I-Skill
achieve VB X I-Skill
personal JJ X I-Skill
and CC X I-Skill
team JJ X I-Skill
sales NNS X I-Skill
targets NNS X I-Skill
. . X O

Ideally RB X O
as IN X O
a DT X O
Sous JJ X B-Occupation
Chef NNP X I-Occupation
you PRP X O
will MD X O
have VB X O
previous JJ X O
experience NN X O
working VBG X B-Skill
in IN X I-Skill
busy JJ X I-Skill
modern JJ X I-Skill
staff NN X I-Skill
restauranrs NN X I-Skill

Promote JJ X B-Skill
people NNS X I-Skill
s VBP X I-Skill
equality NN X I-Skill
, , X O
diversity NN X B-Skill
and CC X I-Skill
rights NNS X I-Skill
Apply NNP X I-Skill
technology NN X I-Skill
for IN X I-Skill
measurement NN X I-Skill
, , X O
monitoring NN X B-Skill
and CC X I-Skill
treatment NN X I-Skill
. . X O

By IN X O
specialising VBG X O
solely RB X O
in IN X O
placing VBG X O
candidates NNS X O
in IN X O
the DT X O
market NN X O
I PRP X O
have VBP X O
built VBN X O
relationships NNS X O
with IN X O
key JJ X O
employers NNS X O
in IN X O
the DT X O
UK NNP X O
and CC X O
have VBP X O
an DT X O
unrivalled JJ X O
understanding NN X O
of IN X O
where WRB X O
the DT X O
best JJS X O
opportunities NNS X O
Dynamics NNP X B-Skill
AX NNP X I-Skill
/ NNP X O
Axapta NNP X B-Skill
jobs NNS X O
are VBP X O
. . X O

The DT X O
chance NN X O
to TO X O
grow VB X O
and CC X O
progress VB X O
from IN X O
a DT X O
Sous JJ X B-Occupation
Chef NNP X I-Occupation
to TO X O
Head NNP X B-Occupation
Chef NNP X I-Occupation
will MD X O
be VB X O
available JJ X O
for IN X O
the DT X O
right JJ X O
person NN X O
who WP X O
wants VBZ X O
career NN X O
progression NN X O
. . X O

a DT X O
**** JJ X O
basis NN X O
, , X O
a DT X O
consultant NN X B-Occupation
that WDT X O
is VBZ X O
looking VBG X O
for IN X O
that DT X O
next JJ X O
exciting JJ X O
move NN X O
and CC X O
is VBZ X O
ready JJ X B-Skill
to TO X I-Skill
attend VB X I-Skill
our PRP$ X I-Skill
Management NNP X I-Skill
Training NNP X I-Skill
Academy NNP X I-Skill
which WDT X O
trains VBZ X O
the DT X O
managers NNS X O
of IN X O
the DT X O
future NN X O
. . X O

You PRP X O
will MD X O
be VB X O
part NN X O
of IN X O
a DT X O
team NN X B-Skill
supporting NN X I-Skill
and CC X O
updating VBG X B-Skill
existing VBG X I-Skill
in IN X I-Skill
house NN X I-Skill
CRM NNP X I-Skill
systems NNS X I-Skill
to TO X O
an DT X O
agreed VBN X O
timetable NN X O
to TO X O
meet VB X O
the DT X O
requirements NNS X O
of IN X O
the DT X O
business NN X B-Domain
and CC X O
users NNS X O
. . X O

The DT X O
Candidate NNP X O
The DT X O
client NN X O
is VBZ X O
looking VBG X O
to TO X O
employ VB X O
someone NN X O
with IN X O
a DT X O
proven JJ X B-Skill
track NN X I-Skill
record NN X I-Skill
within IN X O
either CC X O
a DT X O
business NN X B-Skill
to TO X I-Skill
business NN X I-Skill
or CC X O
business NN X B-Skill
to TO X I-Skill
consumer NN X I-Skill
environment NN X O
. . X O

The DT X O
successful JJ X O
candidate NN X O
will MD X O
be VB X O
responsible JJ X B-Skill
for IN X I-Skill
digital JJ X I-Skill
and CC X I-Skill
analogue JJ X I-Skill
electronics NNS X I-Skill
design NN X I-Skill
and CC X I-Skill
verifications NNS X I-Skill
. . X O

Keep NNP X B-Skill
Management NNP X I-Skill
informed NN X I-Skill
of IN X I-Skill
progress NN X I-Skill
SKILLS NNP X O
REQUIRED NNP X O
Excellent NNP X O
customer NN X B-Skill
service NN X I-Skill
skills NNS X I-Skill
Good NNP X O
knowledge NN X B-Skill
of IN X O
PC NN X O
word NN X B-Skill
/ NNP X O
excel CC X B-Skill
Excellent NNP X O
communicator NN X B-Skill
and CC X O
can MD X O
easily RB X O
build VB X B-Skill
rapport NN X I-Skill
Selfconfidence NNP X I-Skill
Client NNP X I-Skill
relationship NN X I-Skill
skills NNS X I-Skill
Ability NNP X I-Skill
to TO X I-Skill
work VB X I-Skill
on IN X I-Skill
own JJ X I-Skill
initiative NN X I-Skill

Maintain NNP X B-Skill
material JJ X I-Skill
reconciliation NN X I-Skill
figures NNS X I-Skill
for IN X I-Skill
reporting VBG X I-Skill
in IN X I-Skill
the DT X I-Skill
weekly JJ X I-Skill
site NN X I-Skill
review NN X I-Skill
meeting NN X I-Skill
. . X O

Candidates NNS X O
must MD X O
be VB X O
eligible JJ X O
to TO X O
work VB X O
in IN X O
the DT X O
UK NNP X O
. . X O

Perform NNP X O
internal JJ X B-Skill
to TO X I-Skill
R NNP X I-Skill
& CC X I-Skill
D NNP X I-Skill
, , X O
testing VBG X B-Skill
of IN X I-Skill
all DT X I-Skill
software NN X I-Skill
components NNS X O
and CC X O
end NN X B-Skill
to TO X I-Skill
end VB X I-Skill
testing VBG X I-Skill
prior JJ X I-Skill
to TO X I-Skill
testing VBG X I-Skill
by IN X I-Skill
QA NNP X I-Skill
. . X O

Responsibilities NNS X O
include VBP X O
: : X O
To TO X O
train VB X O
as IN X O
an DT X O
Apprentice NNP X B-Occupation
Chef NNP X I-Occupation
following VBG X B-Skill
the DT X I-Skill
guidance NN X I-Skill
and CC X O
instruction NN X O
given VBN X O
from IN X O
the DT X O
Chef NNP X O
and CC X O
staff NN X O
in IN X O
particular JJ X O
assisting VBG X B-Skill
with IN X I-Skill
the DT X I-Skill
preparation NN X I-Skill
of IN X I-Skill
vegetables NNS X I-Skill
, , X O
salads NNS X B-Skill
and CC X I-Skill
sandwiches NNS X I-Skill
as IN X O
required VBN X O
. . X O

Ideally RB X O
you PRP X O
will MD X O
have VB X O
a DT X O
wealth NN X O
of IN X O
experience NN X O
supporting VBG X B-Skill
a DT X I-Skill
Windows NNP X I-Skill
environment NN X I-Skill
, , X O
covering VBG X O
Windows NNS X B-Skill
2003 CD X I-Skill

Supporting VBG X B-Skill
the DT X I-Skill
Service NNP X I-Skill
Delivery NNP X I-Skill
Managers NNP X I-Skill
, , X O
you PRP X O
will MD X O
ensure VB X B-Skill
a DT X I-Skill
high JJ X I-Skill
level NN X I-Skill
of IN X I-Skill
customer NN X I-Skill
service NN X I-Skill
is VBZ X I-Skill
provided VBN X I-Skill
to TO X I-Skill
all DT X I-Skill
students NNS X I-Skill
and CC X I-Skill
visitors NNS X I-Skill
. . X O

Additional JJ X O
Keywords NNS X O
: : X O
Part NNP X B-Qualification
Qualified NNP X I-Qualification
Financial NNP X I-Qualification
Accountant NNP X I-Qualification
, , X O
AAT NNP X B-Qualification
Part NNP X I-Qualification
Qualified NNP X I-Qualification
, , X O
ACA NNP X B-Qualification
Part NNP X I-Qualification
Qualified NNP X I-Qualification
, , X O

This DT X O
contract NN X O
provides VBZ X O
the DT X O
opportunity NN X O
to TO X O
work VB X O
on IN X O
one CD X O
of IN X O
the DT X O
worlds NNS X O
most RBS X O
prestigious JJ X O
nuclear JJ X O
projects NNS X O
, , X O
and CC X O
leading VBG X B-Skill
a DT X I-Skill
new JJ X I-Skill
team NN X I-Skill
of IN X I-Skill
experienced JJ X I-Skill
and CC X I-Skill
technical JJ X I-Skill
engineers NNS X I-Skill
. . X O

To TO X O
ensure VB X B-Skill
all DT X I-Skill
intercompany JJ X I-Skill
transactions NNS X I-Skill
are VBP X I-Skill
completed VBN X I-Skill
to TO X I-Skill
timescale VB X I-Skill
Monitor NNP X I-Skill
and CC X I-Skill
control VB X I-Skill
key JJ X I-Skill
staff NN X I-Skill
accounts NNS X I-Skill
such JJ X O
as IN X O
mobile JJ X O
phones NNS X O
, , X O
company NN X O
car NN X O
leases NNS X O
, , X O
mileage NN X O
, , X O
etc FW X O
Produce NNP X B-Skill
reconciliations NNS X I-Skill
of IN X I-Skill
certain JJ X I-Skill
key JJ X I-Skill
accounts NNS X I-Skill

Agreeing VBG X B-Skill
terms NNS X I-Skill
across IN X I-Skill
a DT X I-Skill
variety NN X I-Skill
of IN X I-Skill
commercial JJ X I-Skill
products NNS X I-Skill
and CC X I-Skill
classes NNS X I-Skill
of IN X I-Skill
business NN X I-Skill
, , X O
appropriate JJ X B-Skill
to TO X I-Skill
your PRP$ X I-Skill
skills NNS X I-Skill
and CC X I-Skill
experience NN X I-Skill
Performing VBG X I-Skill
a DT X I-Skill
range NN X I-Skill
of IN X I-Skill
duties NNS X I-Skill
such JJ X I-Skill
as IN X I-Skill
technical JJ X I-Skill
referrals NNS X I-Skill
, , X O
assisting VBG X B-Skill
with IN X I-Skill
technical JJ X I-Skill
training NN X I-Skill
and CC X I-Skill
auditing NN X I-Skill
, , X O
and CC X O
the DT X O
production NN X B-Skill
and CC X I-Skill
distribution NN X I-Skill
of IN X I-Skill
statistical JJ X I-Skill
information NN X I-Skill
and CC X I-Skill
other JJ X I-Skill
research NN X I-Skill
Underwriting NNP X I-Skill
complex JJ X I-Skill
individual JJ X I-Skill
risks NNS X I-Skill
Managing VBG X I-Skill
a DT X I-Skill
Regional NNP X I-Skill
portfolio NN X I-Skill

You PRP X O
will MD X O
be VB X O
able JJ X O
to TO X O
demonstrate VB X O
negotiation NN X B-Skill
skills NNS X I-Skill
and CC X O
have VBP X O
a DT X O
track NN X O
record NN X O
of IN X O
saving VBG X B-Skill
a DT X I-Skill
company NN X I-Skill
money NN X I-Skill
and CC X I-Skill
time NN X I-Skill
whilst NN X O
also RB X O
maintaining VBG X B-Skill
the DT X I-Skill
quality NN X I-Skill
and CC X I-Skill
standard NN X I-Skill
. . X O

This DT X O
is VBZ X O
a DT X O
full JJ X O
time NN X O
position NN X O
You PRP X O
will MD X O
be VB X O
responsible JJ X O
for IN X O
IT NNP X B-Domain
and CC X O
Professional NNP X B-Domain
Services NNP X I-Domain
. . X O

We PRP X O
have VBP X O
a DT X O
brilliant JJ X O
opportunity NN X O
for IN X O
an DT X O
Account NNP X B-Occupation
Manager NNP X I-Occupation
to TO X O
join VB X O
an DT X O
award NN X O
winning NN X O
agency NN X O
, , X O
and CC X O
one CD X O
of IN X O
Bristol NNP X O
` `` X O
s RB X O
finest JJS X O
, , X O
working VBG X O
within IN X O
their PRP$ X O
growing VBG X O
client NN X O
services NNS X O
team NN X O
. . X O

To TO X O
be VB X O
the DT X O
leading JJ X O
Executive NNP X O
Secretarial NNP X O
& CC X O
Support NNP X O
recruitment NN X B-Domain
consultancy NN X I-Domain
in IN X O
London NNP X O
, , X O
for IN X O
employers NNS X O
and CC X O
jobseekers NNS X O
alike RB X O
. . X O

Role NN X O
: : X O
Manage NN X B-Skill
, , X O
control NN X B-Skill
and CC X O
monitor VB X B-Skill
the DT X I-Skill
day NN X I-Skill
to TO X I-Skill
day NN X I-Skill
operation NN X I-Skill
of IN X I-Skill
the DT X I-Skill
helpdesk NN X I-Skill
Assist NNP X I-Skill
with IN X I-Skill
the DT X I-Skill
coordination NN X I-Skill
of IN X I-Skill
the DT X I-Skill
customer NN X I-Skill
service NN X I-Skill
survey NN X I-Skill
twice RB X I-Skill
a DT X I-Skill
year NN X I-Skill
Collate NNP X I-Skill
statistics NNS X I-Skill
and CC X I-Skill
prepare VB X I-Skill
monthly JJ X I-Skill
reports NNS X I-Skill
for IN X I-Skill
client NN X I-Skill
To TO X O
provide VB X B-Skill
hands NNS X I-Skill
on IN X I-Skill
help NN X I-Skill
, , X O
advice NN X B-Skill
and CC X I-Skill
assistance NN X I-Skill
as IN X I-Skill
required VBN X I-Skill
by IN X I-Skill
site NN X I-Skill
and CC X I-Skill
the DT X I-Skill
client NN X I-Skill
Assist NNP X I-Skill
with IN X I-Skill
the DT X I-Skill
improvement NN X I-Skill
of IN X I-Skill
the DT X I-Skill
personal JJ X I-Skill
management NN X I-Skill
and CC X I-Skill
development NN X I-Skill
Investigating NNP X I-Skill
and CC X I-Skill
solving VBG X I-Skill
customer NN X I-Skill
problems NNS X I-Skill

Badenoch NNP X O
Clark NNP X O
is VBZ X O
an DT X O
Equal JJ X O
Opportunity NNP X O
Employer NNP X O
and CC X O
a DT X O
registered JJ X O
Disability NNP X O
Symbol NNP X O
User NNP X O
. . X O

CMA NNP X O
Financial NNP X O
Recruitment NNP X O
Ltd NNP X O
is VBZ X O
acting VBG X O
as IN X O
a DT X O
recruitment NN X O
business NN X O
in IN X O
relation NN X O
to TO X O
this DT X O
role NN X O
. . X O

flexible JJ X B-Skill
, , X O
be VB X O
well RB X O
versed VBN X O
with IN X O
the DT X O
Health NNP X B-Domain
and CC X I-Domain
Safety NNP X I-Domain
legislation NN X O
with IN X O
regards NNS X O
to TO X O
asbestos NNS X O
, , X O
work NN X O
effectively RB X O
within IN X O
the DT X O
team NN X O
and CC X O
complete JJ X O
work NN X O
within IN X O
time NN X O
frame NN X O
and CC X O
must MD X O
have VB X O
the DT X O
ability NN X O
to TO X O
work VB X O
on IN X O
own JJ X O
initiative NN X O
. . X O

Reporting VBG X B-Skill
to TO X I-Skill
the DT X I-Skill
Delivery NNP X I-Skill
Manager NNP X I-Skill
of IN X I-Skill
the DT X I-Skill
Portfolio NNP X I-Skill
Management NNP X I-Skill
Team NNP X I-Skill
. . X O

**** JJ X O
Dep NNP X O
on IN X O
Exp NNP X O
East NNP X O
Midlands NNP X O
Multisite NNP X O
International NNP X O
manufacturer NN X O
, , X O
The DT X O
successful JJ X O
candidate NN X O
will MD X O
be VB X O
responsible JJ X B-Skill
for IN X I-Skill
undertaking VBG X I-Skill
process NN X I-Skill
checks NNS X I-Skill
in IN X I-Skill
line NN X I-Skill
with IN X I-Skill
procedures NNS X I-Skill
and CC X O
maintaining VBG X B-Skill
compliance NN X I-Skill
with IN X I-Skill
environmental JJ X I-Skill
provisions NNS X I-Skill
. . X O

CCTV NNP X O
Day2 NNP X O
Internal NNP X O
fixed VBD X O
dome JJ X O
camera NN X O
power NN X O
supply NN X O
unit NN X O
drum JJ X O
standard NN X O
shotgun NN X O
coax NN X O
with IN X O
power NN X O
cable NN X O

To TO X O
apply VB X O
for IN X O
this DT X O
Job NNP X O
or CC X O
enquire VB X O
about IN X O
additional JJ X O
Optometrist NNP X B-Occupation
Job NNP X O
Opportunities NNP X O
in IN X O
Scarborough NNP X O
or CC X O
the DT X O
North NNP X O
Yorkshire NNP X O
Region NNP X O
Contact NNP X O
Flame NNP X O
Health NNP X O
on IN X O

Must RB X O
be VB X O
self VBN X B-Skill
motivated VBN X I-Skill
with IN X O
the DT X O
ability NN X O
to TO X O
lead VB X B-Skill
and CC X O
effectively RB X O
motivate VB X B-Skill
a DT X I-Skill
team NN X I-Skill

Role JJ X O
requirements NNS X O
Provide VB X O
excellent JJ X O
customer NN X B-Skill
service NN X I-Skill
and CC X O
professional JJ X B-Skill
advice NN X I-Skill
on IN X I-Skill
products NNS X I-Skill
and CC X I-Skill
services NNS X I-Skill
offered VBN X O
by IN X O
Waitrose NNP X O
. . X O

For IN X O
an DT X O
application NN X O
pack NN X O
, , X O
contact VB X O
our PRP$ X O
24 CD X O
hours NNS X O
Recruitment NNP X O
Hotline NNP X O
. . X O

Assist VB X O
the DT X O
Registered NNP X B-Occupation
Manager NNP X I-Occupation
and CC X O
Home NNP X B-Occupation
Administrator NNP X I-Occupation
/ NNP X O
Book NNP X B-Occupation
Keeper NNP X I-Occupation
in IN X O
stock NN X B-Skill
control NN X I-Skill
and CC X O
order NN X B-Skill
and CC X I-Skill
purchase NN X I-Skill
supplies NNS X I-Skill
if IN X O
required VBN X O
. . X O

We PRP X O
aim VBP X O
to TO X O
achieve VB X O
it PRP X O
by IN X O
having VBG X O
integrity NN X O
, , X O
inspiring VBG X B-Skill
trust NN X I-Skill
and CC X O
building NN X B-Skill
a DT X O
better JJR X O
society NN X O
by IN X O
excelling VBG X O
in IN X O
everything NN X O
we PRP X O
do VBP X O
. . X O

Manage NN X B-Skill
and CC X I-Skill
implement VB X I-Skill
the DT X I-Skill
review NN X I-Skill
, , X O
operations NNS X B-Skill
, , X O
planning NN X B-Skill
, , X O
sales NNS X B-Skill
, , X O
marketing NN X B-Skill
and CC X I-Skill
administration NN X I-Skill
of IN X I-Skill
existing VBG X I-Skill
and CC X I-Skill
new JJ X I-Skill
commercial JJ X I-Skill
refuse NN X I-Skill
and CC X I-Skill
recycling VBG X I-Skill
collection NN X I-Skill
business NN X I-Skill
, , X O
in IN X O
line NN X O
with IN X O
business NN X O
plan NN X O
and CC X O
budgets NNS X O

Spring NN X O
Technology NNP X O
is VBZ X O
acting VBG X O
as IN X O
an DT X O
Employment NN X O
Business NN X O
in IN X O
relation NN X O
to TO X O
this DT X O
vacancy NN X O
. . X O

Such JJ X O
duties NNS X O
may MD X O
vary VB X O
from IN X O
time NN X O
to TO X O
time NN X O
without IN X O
changing VBG X O
the DT X O
general JJ X O
character NN X O
of IN X O
the DT X O
post NN X O
or CC X O
the DT X O
level NN X O
of IN X O
responsibility NN X O
entailed VBN X O
. . X O

Possible JJ X O
college NN X O
attendance NN X O
is VBZ X O
available JJ X O
to TO X O
assist VB X O
the DT X O
trainee NN X B-Occupation
service NN X I-Occupation
engineer NN X I-Occupation
acquire VB X O
the DT X O
additional JJ X O
knowledge NN X O
required VBN X O
re JJ X O
electrical JJ X B-Skill
circuitry NN X I-Skill
, , X O
hydraulic JJ X B-Skill
circuitry NN X I-Skill
, , X O
mechanical JJ X B-Skill
principles NNS X I-Skill
. . X O

Excellent NN X B-Skill
IT NNP X I-Skill
skills VBZ X I-Skill
Excellent JJ X I-Skill
organisation NN X I-Skill
and CC X I-Skill
planning NN X I-Skill
skills NNS X I-Skill
Personal JJ X O
qualities NNS X O
: : X O
Commitment NN X B-Skill
to TO X I-Skill
the DT X I-Skill
delivery NN X I-Skill
of IN X I-Skill
excellent JJ X I-Skill
Excellent NNP X I-Skill
communication NN X I-Skill
skills NNS X I-Skill
Application NNP X O
Form NNP X O
/ NNP X O
Interview NNP X O
Good NNP X B-Skill
teamwork NN X I-Skill
skills NNS X I-Skill
and CC X O
commitment NN X B-Skill
to TO X I-Skill
teamwork VB X I-Skill
Application NNP X O
form NN X O

Must NNP X O
have VBP X O
a DT X B-Skill
checkable JJ X I-Skill
employment NN X I-Skill
or CC X I-Skill
education NN X I-Skill
history NN X I-Skill
and CC X O
be VB X O
flexible JJ X B-Skill
to TO X I-Skill
work VB X I-Skill
a DT X I-Skill
rotating VBG X I-Skill
shift NN X I-Skill
system NN X I-Skill
. . X O

An DT X O
instantly RB X O
recognisable JJ X O
brand NN X O
are VBP X O
recruiting VBG X O
for IN X O
a DT X O
key JJ X O
role NN X O
within IN X O
their PRP$ X O
Commercial JJ X B-Domain
Finance NNP X I-Domain
team NN X O
. . X O

Previous JJ X O
Project NNP X O
Planning NNP X O
is VBZ X O
essential JJ X O
ideally RB X O
within IN X O
a DT X O
manufacturing NN X B-Domain
environment NN X O

The DT X O
School NNP X O
is VBZ X O
looking VBG X O
for IN X O
a DT X O
creative JJ X B-Skill
and CC X O
well RB X O
organised JJ X B-Skill
English NNP X B-Occupation
teacher NN X I-Occupation
with IN X O
excellent JJ X O
subject JJ X B-Skill
knowledge NN X I-Skill
and CC X O
a DT X O
strong JJ X O
classroom NN X O
presence NN X O
. . X O

Our PRP$ X O
client NN X O
is VBZ X O
one CD X O
of IN X O
the DT X O
leading VBG X O
franchised JJ X O
retail JJ X B-Domain
groups NNS X O
in IN X O
the DT X O
UK NNP X O
and CC X O
an DT X O
excellent JJ X O
opportunity NN X O
has VBZ X O
arisen VBN X O
for IN X O
a DT X O
Service NNP X B-Occupation
Advisor NNP X I-Occupation
to TO X O
join VB X O
their PRP$ X O
highly RB X O
successful JJ X O
Volkswagen NNP X O
dealership NN X O
in IN X O
Manchester NNP X O
. . X O

You PRP X O
will MD X O
also RB X O
be VB X O
able JJ X O
to TO X O
demonstrate VB X O
a DT X O
proven JJ X O
track NN X B-Skill
record NN X I-Skill
of IN X I-Skill
relationship NN X I-Skill
building NN X I-Skill
with IN X I-Skill
key JJ X I-Skill
clients NNS X I-Skill
. . X O

This DT X O
is VBZ X O
a DT X O
great JJ X O
opportunity NN X O
to TO X O
join VB X O
a DT X O
global JJ X O
food NN X O
manufacturer NN X O
as IN X O
a DT X O
Health NNP X O
Safety NNP X O
Advisor NNP X O
/ NNP X O
Trainer NNP X O
working VBG X O
in IN X O
Leeds NNP X O
. . X O

The DT X O
candidate NN X O
must MD X O
have VB X O
an DT X O
engineering NN X O
background NN X O
with IN X O
HND NNP X B-Skill
/ NNP X O
C NNP X B-Skill
or CC X O
degree NN X B-Qualification
, , X O
PTS NNP X B-Skill
, , X O

**** JJ X O
working VBG X O
days NNS X O
you PRP X O
should MD X O
assume VB X O
you PRP X O
have VBP X O
not RB X O
been VBN X O
successful JJ X O
on IN X O
this DT X O
occasion NN X O
. . X O

You PRP X O
will MD X O
be VB X O
providing VBG X B-Skill
support NN X I-Skill
to TO X I-Skill
adults NNS X I-Skill
and CC X I-Skill
young JJ X I-Skill
people NNS X I-Skill
within IN X I-Skill
a DT X I-Skill
variety NN X I-Skill
of IN X I-Skill
care NN X I-Skill
settings NNS X I-Skill
which WDT X O
includes VBZ X O
Residential NNP X O
homes NNS X O
, , X O
Day NNP X O
Centres NNP X O
and CC X O
Supported VBD X O
Living NNP X O
accommodation NN X O
. . X O

Knowledge NNP X B-Skill
in IN X I-Skill
Dreamweaver NNP X I-Skill
and CC X O
content JJ X B-Skill
management NN X I-Skill
systems NNS X I-Skill
is VBZ X O
also RB X O
essential JJ X O
. . X O

This DT X O
role NN X O
requires VBZ X O
someone NN X O
who WP X O
is VBZ X O
comfortable JJ X O
within IN X O
a DT X O
consultancy NN X B-Domain
role NN X O
with IN X O
the DT X O
right JJ X O
technical JJ X O
attributes NNS X O
to TO X O
provide VB X B-Skill
solutions NNS X I-Skill
to TO X I-Skill
client NN X I-Skill
' '' X I-Skill
s NN X I-Skill
and CC X O
contribute NN X B-Skill
to TO X I-Skill
the DT X I-Skill
growing VBG X I-Skill
success NN X I-Skill
of IN X I-Skill
this DT X I-Skill
organisation NN X I-Skill
. . X O

Knowledge NNP X O
, , X O
Skills NNP X O
and CC X O
Experience NNP X O
Current NNP X B-Qualification
holder NN X I-Qualification
of IN X I-Qualification
a DT X I-Qualification
valid JJ X I-Qualification
driving NN X I-Qualification
licence NN X I-Qualification
with IN X I-Qualification
Category NNP X I-Qualification
D NNP X I-Qualification

You PRP X O
will MD X O
achieve VB X O
this DT X O
by IN X O
building NN X B-Skill
strong JJ X I-Skill
and CC X I-Skill
lasting JJ X I-Skill
relationships NNS X I-Skill
with IN X I-Skill
local JJ X I-Skill
authority NN X I-Skill
commissioners NNS X I-Skill
, , X O
as RB X B-Skill
well RB X I-Skill
as IN X I-Skill
other JJ X I-Skill
groups NNS X I-Skill
and CC X I-Skill
existing VBG X I-Skill
customers NNS X I-Skill
. . X O

Are NNP X O
you PRP X O
able JJ X O
to TO X O
demonstrate VB X O
good JJ X O
CQC NNP X B-Skill
, , X O
policy NN X B-Skill
and CC X I-Skill
procedure NN X I-Skill
knowledge NN X I-Skill
? . X O

The DT X O
Reward NNP X O
One CD X O
of IN X O
the DT X O
most RBS X O
competitive JJ X O
basic JJ X O
salaries NNS X O
around IN X O
is VBZ X O
just RB X O
the DT X O
start NN X O
. . X O

Working VBG X O
across IN X O
all DT X O
channels NNS X O
, , X O
no DT X O
two CD X O
days NNS X O
will MD X O
ever RB X O
be VB X O
the DT X O
same JJ X O
as IN X O
you PRP X O
will MD X O
work VB X B-Skill
across IN X I-Skill
multiple JJ X I-Skill
client NN X I-Skill
briefs NNS X I-Skill
, , X O
with IN X O
the DT X O
aim NN X O
of IN X O
ensuring VBG X B-Skill
audience NN X I-Skill
optimisation NN X I-Skill
. . X O

**** NN X O
stores NNS X O
and CC X O
concessions NNS X O
across IN X O
the DT X O
UK NNP X O
and CC X O
are VBP X O
now RB X O
growing VBG X O
internationally RB X O
. . X O

As IN X O
Senior NNP X B-Occupation
SQL NNP X I-Occupation
Developer NNP X I-Occupation
you PRP X O
will MD X O
manage VB X B-Skill
and CC X I-Skill
mentor VB X I-Skill
your PRP$ X I-Skill
team NN X I-Skill
of IN X O
SQL NNP X O
Developers NNP X O
ensuring VBG X B-Skill
the DT X I-Skill
quality NN X I-Skill
of IN X I-Skill
work NN X I-Skill
from IN X I-Skill
the DT X I-Skill
DB NNP X I-Skill
team NN X I-Skill
and CC X O
be VB X O
responsible JJ X B-Skill
for IN X I-Skill
documentation NN X I-Skill
of IN X I-Skill
all DT X I-Skill
DB NNP X I-Skill
related VBN X I-Skill
projects NNS X I-Skill
and CC X I-Skill
tasks NNS X I-Skill
. . X O

You PRP X O
will MD X O
work VB X O
as IN X O
part NN X O
of IN X O
a DT X O
team NN X O
, , X O
therefore RB X O
being VBG X O
a DT X O
team NN X O
player NN X O
is VBZ X O
essential JJ X O
. . X O

is VBZ X O
extremely RB X O
high JJ X O
If IN X O
you PRP X O
have VBP X O
the DT X O
relevant JJ X O
Pastry NNP X B-Occupation
Chef NNP X I-Occupation
experience NN X O
apply RB X O
now RB X O
to TO X O
find VB X O
out RP X O
more JJR X O
Free JJ X O
Accommodation NNP X O
is VBZ X O
provided VBN X O
with IN X O
this DT X O
Pastry NN X O
Chef NNP X O
position NN X O
in IN X O
Cumbria NNP X O
Position NNP X O
Pastry NNP X O
Chef NNP X O
Cumbria NNP X O
Salary NNP X O

To TO X O
apply VB X O
for IN X O
the DT X O
role NN X O
, , X O
please VB X O
send VB X O
an DT X O
updated JJ X O
CV NNP X O
ASAP NNP X O
. . X O

If IN X O
we PRP X O
have VBP X O
not RB X O
contacted VBN X O
you PRP X O
within IN X O
five CD X O
working VBG X O
days NNS X O
your PRP$ X O
application NN X O
has VBZ X O
been VBN X O
unsuccessful JJ X O
. . X O

So RB X O
as IN X O
a DT X O
Registered NNP X B-Qualification
Nurse NNP X I-Qualification
what WP X O
do VBP X O
you PRP X O
need VB X O
to TO X O
do VB X O
to TO X O
make VB X O
this DT X O
happen VB X O
? . X O

You PRP X O
will MD X O
have VB X O
a DT X O
good JJ X O
eye NN X B-Skill
for IN X I-Skill
detail NN X I-Skill
as RB X O
well RB X O
as IN X O
the DT X O
ability NN X B-Skill
to TO X I-Skill
learn VB X I-Skill
new JJ X I-Skill
skills NNS X I-Skill
to TO X O
take VB X O
your PRP$ X O
career NN X O
to TO X O
the DT X O
next JJ X O
level NN X O
. . X O

You PRP X O
will MD X O
benefit VB X O
from IN X O
working VBG X O
with IN X O
an DT X O
experienced JJ X B-Skill
team NN X O
in IN X O
a DT X O
structured JJ X O
development NN X B-Domain
environment NN X O
producing VBG X O
proper JJ X O
industrial JJ X B-Skill
strength NN X I-Skill
best JJS X I-Skill
of IN X I-Skill
breed NN X I-Skill
solutions NNS X I-Skill
. . X O

Candidates NNS X O
will MD X O
be VB X O
very RB X O
enthusiastic JJ X B-Skill
